Livio;Forno
Manuel;Fagiolini
Samantha;Sasso
Romana;Budino
Michelangelo;Fagioli
Maya;Pannolino
Primetta;Piede
Neda;Occhiali
Marcella;Plastilina
Marianna;Telefono
Nara;Forchetta
Ludovico;Termometro
Sauro;Slitta
Sarah;Aranciata
Marisa;Pinguino
Lucrezia;Bottiglia
Mirna;Burro
Nicola;Acqua
Maria Rosaria;Carote
Riccardo;Occhiali
Rita;Mandarino
Marilena;Chiave
Niccoletta;Lavoro
Mohamed;Passeggino
Maria Luisa;Giocattolo
Marinella;Bicicletta
Lorena;Pantofole
Mirela;Biberon
Maria Vittoria;Soldato
Sabrina;Stivali
Maria Teresa;Trottola
Lucilla;Pizza
Orlando;Paletta
Nada;Dentifricio
Nicla;Secchio
Patrizio;Biscotti
Maurizio;Calzettoni
Rosella;Gallo
Paola;Lavoro
Marian;Palloncino
Michela;Uovo
Maria;Arancia
Nella;Polpette
Omar;Treno
Massimo;Papera
Morena;Rana
Luna;Fagioli
Neri;Orologio
Paolo;Pasta
Rocco;Noccioline
Ornella;Spaghetti
Renza;Stufa
Marina;Armadio
Maria Cristina;Tazza
Rossano;Polpette
Rosa;Pigiama
Loriana;Matita
Niccolo';Dentifricio
Massimiliano;Carote
Rossana;Cappotto
Luciano;Divano
Loretta;Gelato
Natalina;Sasso
Lorenzo;Bicchiere
Sandra;Giornale
Maria Chiara;Trottola
Serenella;Uccellino
Nicole;Camicia
Sandro;Fiore
Miriam;Pentola
Luisa;Matita
Olga;Collana
Patrizia;Bicicletta
Renzo;Fotografia
Norma;Pasta
Milena;Guanti
Mariya;Crema
Nicolo';Coca Cola
Maria Angela;Ape
Sergio;Forchetta
Raffaele;Tromba
Margherita;Biscotti
Moreno;Borsa
Mauro;Caramella
Rosaria;Acqua
Nataliya;Televisione
Lucio;Piatto
Melissa;Bottiglia
Martino;Scatola
Rosita;Sciarpa
Maria Letizia;Culla
Serena;Automobile
Otello;Colori
Marco;Jeans
Mafalda;Gallina
Monia;Burro
Pierpaolo;Plastilina
Mirella;Gallina
Sabina;Acqua
